time,an_x,an_y,an_z,wn_x,wn_y,wn_z,esti_x,esti_y,esti_z,esti_a,esti_b,esti_c
0.335000,-0.016492,-0.001794,0.009975,-0.070520,0.044794,-0.052795,0.000584,-0.000025,0.000319,-0.006564,-0.024628,-0.003575
0.341000,-0.016447,-0.001722,0.009975,-0.070188,0.044642,-0.052794,0.000604,-0.000028,0.000330,-0.006985,-0.024360,-0.003892
0.346000,-0.016409,-0.001662,0.009975,-0.069901,0.044402,-0.052794,0.000620,-0.000031,0.000339,-0.007334,-0.024138,-0.004156
0.351000,0.005698,0.005502,0.012978,0.024427,-0.059171,0.008023,0.000636,-0.000034,0.000349,-0.007212,-0.024434,-0.004116
0.357000,0.005637,0.005477,0.012978,0.024330,-0.058909,0.008023,0.000655,-0.000038,0.000362,-0.007066,-0.024787,-0.004067
0.363000,0.005577,0.005453,0.012978,0.024214,-0.058626,0.008023,0.000675,-0.000041,0.000375,-0.006921,-0.025139,-0.004019
0.368000,0.023426,0.011990,0.002206,0.054907,-0.142344,-0.052769,0.000692,-0.000043,0.000385,-0.006646,-0.025850,-0.004283
0.373000,0.023305,0.011943,0.002206,0.054688,-0.141776,-0.052769,0.000709,-0.000045,0.000396,-0.006373,-0.026559,-0.004547
0.379000,0.023160,0.011887,0.002206,0.054470,-0.141183,-0.052769,0.000730,-0.000047,0.000410,-0.006046,-0.027406,-0.004864
0.383000,0.023064,0.011850,0.002206,0.054207,-0.140558,-0.052769,0.000745,-0.000048,0.000419,-0.005829,-0.027969,-0.005075
0.388000,0.020615,-0.000723,-0.011568,-0.004709,-0.068509,-0.052775,0.000764,-0.000050,0.000429,-0.005853,-0.028311,-0.005338
0.393000,0.020557,-0.000719,-0.011567,-0.004690,-0.068235,-0.052775,0.000784,-0.000051,0.000440,-0.005876,-0.028652,-0.005602
0.397000,0.020510,-0.000716,-0.011567,-0.004673,-0.067940,-0.052775,0.000800,-0.000052,0.000448,-0.005895,-0.028924,-0.005813
0.402000,0.020452,-0.000712,-0.011567,-0.004657,-0.067746,-0.052775,0.000820,-0.000054,0.000459,-0.005918,-0.029263,-0.006077
0.408000,0.016813,0.004656,-0.021152,0.020591,-0.050795,-0.052775,0.000845,-0.000055,0.000470,-0.005795,-0.029568,-0.006394
0.413000,0.016770,0.004638,-0.021151,0.020491,-0.050529,-0.052775,0.000867,-0.000056,0.000479,-0.005692,-0.029820,-0.006658
0.418000,0.016727,0.004620,-0.021151,0.020409,-0.050327,-0.052775,0.000889,-0.000058,0.000488,-0.005590,-0.030072,-0.006922
0.424000,0.016675,0.004600,-0.021151,0.020329,-0.050149,-0.052775,0.000915,-0.000059,0.000498,-0.005468,-0.030373,-0.007238
0.429000,0.013645,0.012338,-0.008577,0.056581,-0.035753,0.008016,0.000938,-0.000059,0.000505,-0.005185,-0.030552,-0.007198
0.434000,0.013614,0.012290,-0.008576,0.056355,-0.035610,0.008016,0.000961,-0.000060,0.000512,-0.004904,-0.030730,-0.007158
0.440000,0.013578,0.012232,-0.008576,0.056131,-0.035491,0.008016,0.000989,-0.000060,0.000521,-0.004567,-0.030943,-0.007110
